(2505, 1522.786499)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2505, 1522.788208)
(2502.525146, 1522.78833)
(2500.050293, 1522.788452)
(2497.576416, 1522.78772)
(2495.102539, 1522.789063)
(2492.628662, 1522.78833)
(2490.154785, 1522.787598)
(2487.680908, 1522.78894)
(2485.207031, 1522.788208)
(2482.733154, 1522.787476)
(2480.259277, 1522.788818)
(2477.7854, 1522.788086)
(2475.311523, 1522.787354)
(2472.837646, 1522.788696)
(2470.36377, 1522.787964)
(2467.889893, 1522.789307)
(2465.416016, 1522.788574)
(2462.942139, 1522.787842)
(2460.468262, 1522.789185)
(2457.994385, 1522.788452)
(2455.520508, 1522.78772)
(2453.046631, 1522.789063)
(2450.572754, 1522.78833)
(2448.098877, 1522.787598)
(2445.625, 1522.78894)
(2443.151123, 1522.788208)
(2440.677246, 1522.787476)
(2438.203369, 1522.788818)
(2435.729492, 1522.788086)
(2433.255615, 1522.787354)
(2430.781738, 1522.788696)
(2428.307861, 1522.787964)
(2425.833984, 1522.789307)
(2423.360107, 1522.788574)
(2420.88623, 1522.787842)
(2418.412354, 1522.789185)
(2415.938477, 1522.788452)
(2413.4646, 1522.78772)
(2410.990723, 1522.789063)
(2408.516846, 1522.78833)
(2406.042969, 1522.787598)
(2403.569092, 1522.78894)
(2401.095215, 1522.788208)
(2398.621338, 1522.787476)
(2396.147461, 1522.788818)
(2393.673584, 1522.788086)
(2391.199707, 1522.787354)
(2388.72583, 1522.788696)
(2386.251953, 1522.787964)
(2383.778076, 1522.789307)
(2381.304199, 1522.788574)
(2378.830322, 1522.787842)
(2376.356445, 1522.789185)
(2373.882568, 1522.788452)
(2371.408691, 1522.78772)
(2368.934814, 1522.789063)
(2366.460938, 1522.78833)
(2363.987061, 1522.787598)
(2361.513184, 1522.78894)
(2359.039307, 1522.788208)
(2356.56543, 1522.787476)
(2354.091553, 1522.788818)
(2351.617676, 1522.788086)
(2349.143799, 1522.787354)
(2346.669922, 1522.788696)
(2344.196045, 1522.787964)
(2341.722168, 1522.789307)
(2339.248291, 1522.788574)
(2336.774414, 1522.787842)
(2334.300537, 1522.789185)
(2331.82666, 1522.788452)
(2329.352783, 1522.78772)
(2326.878906, 1522.789063)
(2324.405029, 1522.78833)
(2321.931152, 1522.787598)
(2319.457275, 1522.78894)
(2316.983398, 1522.788208)
(2314.509521, 1522.787476)
(2312.036865, 1522.787598)
(2309.564209, 1522.78772)
(2307.091553, 1522.787842)
(2304.618896, 1522.787964)
(2302.14624, 1522.788086)
(2299.673584, 1522.788208)
(2297.200928, 1522.78833)
(2294.728271, 1522.788452)
(2292.255615, 1522.788574)
(2289.782959, 1522.788696)
(2287.310303, 1522.788818)
(2284.837646, 1522.78894)
(2282.36499, 1522.789063)
(2279.892334, 1522.789185)
(2277.419678, 1522.789307)
(2274.947021, 1522.787354)
(2272.474365, 1522.787476)
(2270.001709, 1522.787598)
(2267.529053, 1522.78772)
(2265.056396, 1522.787842)
(2262.58374, 1522.787964)
(2260.111084, 1522.788086)
(2257.638428, 1522.788208)
(2255.165771, 1522.78833)
(2252.693115, 1522.788452)
(2250.220459, 1522.788574)
(2247.747803, 1522.788696)
(2245.275146, 1522.788818)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
(2245.275146, 1522.788208)
